rank,pathway,rewiring_score_ref_thresh,grid_cells_present_of_12,frac_grid_cells,permutation_verdict
1,THREOCAT-PWY: superpathway of L-threonine metabolism,18.645769136569445,12,1.0,"null-consistent (cohort-level p=0.94 n_true, p=0.94 n_pathways, p=0.47 top score; see pathway_permutation_acvd.csv)"
2,3-HYDROXYPHENYLACETATE-DEGRADATION-PWY: 4-hydroxyphenylacetate degradation,14.83455146203203,12,1.0,"null-consistent (cohort-level p=0.94 n_true, p=0.94 n_pathways, p=0.47 top score; see pathway_permutation_acvd.csv)"
3,PWY-7031: protein N-glycosylation (bacterial),13.77162679181287,12,1.0,"null-consistent (cohort-level p=0.94 n_true, p=0.94 n_pathways, p=0.47 top score; see pathway_permutation_acvd.csv)"
4,PWY-7269: NAD/NADP-NADH/NADPH mitochondrial interconversion (yeast),13.74006008607117,12,1.0,"null-consistent (cohort-level p=0.94 n_true, p=0.94 n_pathways, p=0.47 top score; see pathway_permutation_acvd.csv)"
5,"PWY-6953: dTDP-3-acetamido-3,6-dideoxy-&alpha;-D-galactose biosynthesis",13.565535037945091,12,1.0,"null-consistent (cohort-level p=0.94 n_true, p=0.94 n_pathways, p=0.47 top score; see pathway_permutation_acvd.csv)"
6,PROTOCATECHUATE-ORTHO-CLEAVAGE-PWY: protocatechuate degradation II (ortho-cleavage pathway),12.826844385321568,12,1.0,"null-consistent (cohort-level p=0.94 n_true, p=0.94 n_pathways, p=0.47 top score; see pathway_permutation_acvd.csv)"
7,PWY-101: photosynthesis light reactions,12.70977550507305,12,1.0,"null-consistent (cohort-level p=0.94 n_true, p=0.94 n_pathways, p=0.47 top score; see pathway_permutation_acvd.csv)"
8,PWY-3781: aerobic respiration I (cytochrome c),12.275681341719078,12,1.0,"null-consistent (cohort-level p=0.94 n_true, p=0.94 n_pathways, p=0.47 top score; see pathway_permutation_acvd.csv)"
9,PWY-6435: 4-hydroxybenzoate biosynthesis V,11.607262025954856,12,1.0,"null-consistent (cohort-level p=0.94 n_true, p=0.94 n_pathways, p=0.47 top score; see pathway_permutation_acvd.csv)"
10,PWY-7399: methylphosphonate degradation II,11.43331864362762,12,1.0,"null-consistent (cohort-level p=0.94 n_true, p=0.94 n_pathways, p=0.47 top score; see pathway_permutation_acvd.csv)"
11,PWY-5178: toluene degradation IV (aerobic) (via catechol),11.35917758087227,12,1.0,"null-consistent (cohort-level p=0.94 n_true, p=0.94 n_pathways, p=0.47 top score; see pathway_permutation_acvd.csv)"
12,PWY-6785: hydrogen production VIII,11.269938970890813,12,1.0,"null-consistent (cohort-level p=0.94 n_true, p=0.94 n_pathways, p=0.47 top score; see pathway_permutation_acvd.csv)"
13,PWY-5754: 4-hydroxybenzoate biosynthesis I (eukaryotes),10.986270885064393,12,1.0,"null-consistent (cohort-level p=0.94 n_true, p=0.94 n_pathways, p=0.47 top score; see pathway_permutation_acvd.csv)"
14,PWY-7200: superpathway of pyrimidine deoxyribonucleoside salvage,10.819704646160965,12,1.0,"null-consistent (cohort-level p=0.94 n_true, p=0.94 n_pathways, p=0.47 top score; see pathway_permutation_acvd.csv)"
15,PWY3O-1109: superpathway of 4-hydroxybenzoate biosynthesis (yeast),10.33360570658531,12,1.0,"null-consistent (cohort-level p=0.94 n_true, p=0.94 n_pathways, p=0.47 top score; see pathway_permutation_acvd.csv)"
16,P124-PWY: Bifidobacterium shunt,10.01358955753054,12,1.0,"null-consistent (cohort-level p=0.94 n_true, p=0.94 n_pathways, p=0.47 top score; see pathway_permutation_acvd.csv)"
17,UDPNACETYLGALSYN-PWY: UDP-N-acetyl-D-glucosamine biosynthesis II,9.938772856726366,12,1.0,"null-consistent (cohort-level p=0.94 n_true, p=0.94 n_pathways, p=0.47 top score; see pathway_permutation_acvd.csv)"
18,PWY1F-823: leucopelargonidin and leucocyanidin biosynthesis,9.927491928560595,12,1.0,"null-consistent (cohort-level p=0.94 n_true, p=0.94 n_pathways, p=0.47 top score; see pathway_permutation_acvd.csv)"
19,P163-PWY: L-lysine fermentation to acetate and butanoate,9.581714289956668,12,1.0,"null-consistent (cohort-level p=0.94 n_true, p=0.94 n_pathways, p=0.47 top score; see pathway_permutation_acvd.csv)"
20,DENITRIFICATION-PWY: nitrate reduction I (denitrification),9.151337865142647,12,1.0,"null-consistent (cohort-level p=0.94 n_true, p=0.94 n_pathways, p=0.47 top score; see pathway_permutation_acvd.csv)"
21,PWY-7165: L-ascorbate biosynthesis VI (engineered pathway),8.954543181552319,12,1.0,"null-consistent (cohort-level p=0.94 n_true, p=0.94 n_pathways, p=0.47 top score; see pathway_permutation_acvd.csv)"
22,PROPFERM-PWY: L-alanine fermentation to propanoate and acetate,8.940281633045405,12,1.0,"null-consistent (cohort-level p=0.94 n_true, p=0.94 n_pathways, p=0.47 top score; see pathway_permutation_acvd.csv)"
23,PWY-7279: aerobic respiration II (cytochrome c) (yeast),8.93243025318497,12,1.0,"null-consistent (cohort-level p=0.94 n_true, p=0.94 n_pathways, p=0.47 top score; see pathway_permutation_acvd.csv)"
24,PWY-6562: norspermidine biosynthesis,8.930089372257958,12,1.0,"null-consistent (cohort-level p=0.94 n_true, p=0.94 n_pathways, p=0.47 top score; see pathway_permutation_acvd.csv)"
25,PWY-7345: superpathway of anaerobic sucrose degradation,8.722422707190542,12,1.0,"null-consistent (cohort-level p=0.94 n_true, p=0.94 n_pathways, p=0.47 top score; see pathway_permutation_acvd.csv)"
