rank,pathway,rewiring_score,permutation_verdict,cohort,condition
1,PWY-6471: peptidoglycan biosynthesis IV (Enterococcus faecium),38.38246905148125,"null-consistent (IBD arm: p=0.48 n_true, p=0.87 n_pathways, p=0.49 top score; see pathway_permutation_crosscohort.csv)",ibd_subject,IBD
2,PWY-6470: peptidoglycan biosynthesis V (&beta;-lactam resistance),36.64194484760522,"null-consistent (IBD arm: p=0.48 n_true, p=0.87 n_pathways, p=0.49 top score; see pathway_permutation_crosscohort.csv)",ibd_subject,IBD
3,"PWY-7383: anaerobic energy metabolism (invertebrates, cytosol)",36.11525655254845,"null-consistent (IBD arm: p=0.48 n_true, p=0.87 n_pathways, p=0.49 top score; see pathway_permutation_crosscohort.csv)",ibd_subject,IBD
4,"PWY-7385: 1,3-propanediol biosynthesis (engineered)",32.81915307777683,"null-consistent (IBD arm: p=0.48 n_true, p=0.87 n_pathways, p=0.49 top score; see pathway_permutation_crosscohort.csv)",ibd_subject,IBD
5,PWY0-1533: methylphosphonate degradation I,31.88753863228891,"null-consistent (IBD arm: p=0.48 n_true, p=0.87 n_pathways, p=0.49 top score; see pathway_permutation_crosscohort.csv)",ibd_subject,IBD
6,PWY-5005: biotin biosynthesis II,31.01274310595065,"null-consistent (IBD arm: p=0.48 n_true, p=0.87 n_pathways, p=0.49 top score; see pathway_permutation_crosscohort.csv)",ibd_subject,IBD
7,PWY-821: superpathway of sulfur amino acid biosynthesis (Saccharomyces cerevisiae),30.986387774267914,"null-consistent (IBD arm: p=0.48 n_true, p=0.87 n_pathways, p=0.49 top score; see pathway_permutation_crosscohort.csv)",ibd_subject,IBD
8,PWY-5173: superpathway of acetyl-CoA biosynthesis,30.733876888926844,"null-consistent (IBD arm: p=0.48 n_true, p=0.87 n_pathways, p=0.49 top score; see pathway_permutation_crosscohort.csv)",ibd_subject,IBD
9,PWY66-399: gluconeogenesis III,30.64677537778537,"null-consistent (IBD arm: p=0.48 n_true, p=0.87 n_pathways, p=0.49 top score; see pathway_permutation_crosscohort.csv)",ibd_subject,IBD
10,PWY0-1415: superpathway of heme biosynthesis from uroporphyrinogen-III,28.928983181080856,"null-consistent (IBD arm: p=0.48 n_true, p=0.87 n_pathways, p=0.49 top score; see pathway_permutation_crosscohort.csv)",ibd_subject,IBD
11,ENTBACSYN-PWY: enterobactin biosynthesis,28.714737471185863,"null-consistent (IBD arm: p=0.48 n_true, p=0.87 n_pathways, p=0.49 top score; see pathway_permutation_crosscohort.csv)",ibd_subject,IBD
12,PWY-5304: superpathway of sulfur oxidation (Acidianus ambivalens),27.73772901903867,"null-consistent (IBD arm: p=0.48 n_true, p=0.87 n_pathways, p=0.49 top score; see pathway_permutation_crosscohort.csv)",ibd_subject,IBD
13,ORNARGDEG-PWY: superpathway of L-arginine and L-ornithine degradation,27.72730641167934,"null-consistent (IBD arm: p=0.48 n_true, p=0.87 n_pathways, p=0.49 top score; see pathway_permutation_crosscohort.csv)",ibd_subject,IBD
14,"ARGDEG-PWY: superpathway of L-arginine, putrescine, and 4-aminobutanoate degradation",27.727306411679336,"null-consistent (IBD arm: p=0.48 n_true, p=0.87 n_pathways, p=0.49 top score; see pathway_permutation_crosscohort.csv)",ibd_subject,IBD
15,PWY-6628: superpathway of L-phenylalanine biosynthesis,27.67749338342013,"null-consistent (IBD arm: p=0.48 n_true, p=0.87 n_pathways, p=0.49 top score; see pathway_permutation_crosscohort.csv)",ibd_subject,IBD
16,PWY-6630: superpathway of L-tyrosine biosynthesis,27.4921437718774,"null-consistent (IBD arm: p=0.48 n_true, p=0.87 n_pathways, p=0.49 top score; see pathway_permutation_crosscohort.csv)",ibd_subject,IBD
17,PWY-7196: superpathway of pyrimidine ribonucleosides salvage,27.277139929992323,"null-consistent (IBD arm: p=0.48 n_true, p=0.87 n_pathways, p=0.49 top score; see pathway_permutation_crosscohort.csv)",ibd_subject,IBD
18,"GOLPDLCAT-PWY: superpathway of glycerol degradation to 1,3-propanediol",26.97501750192093,"null-consistent (IBD arm: p=0.48 n_true, p=0.87 n_pathways, p=0.49 top score; see pathway_permutation_crosscohort.csv)",ibd_subject,IBD
19,PWY-5723: Rubisco shunt,26.952179629471527,"null-consistent (IBD arm: p=0.48 n_true, p=0.87 n_pathways, p=0.49 top score; see pathway_permutation_crosscohort.csv)",ibd_subject,IBD
20,PWY-5088: L-glutamate degradation VIII (to propanoate),26.757906599504818,"null-consistent (IBD arm: p=0.48 n_true, p=0.87 n_pathways, p=0.49 top score; see pathway_permutation_crosscohort.csv)",ibd_subject,IBD
21,PWY-5850: superpathway of menaquinol-6 biosynthesis I,26.73823102535645,"null-consistent (IBD arm: p=0.48 n_true, p=0.87 n_pathways, p=0.49 top score; see pathway_permutation_crosscohort.csv)",ibd_subject,IBD
22,PWY-5896: superpathway of menaquinol-10 biosynthesis,26.738231025356445,"null-consistent (IBD arm: p=0.48 n_true, p=0.87 n_pathways, p=0.49 top score; see pathway_permutation_crosscohort.csv)",ibd_subject,IBD
23,P122-PWY: heterolactic fermentation,26.489280286860755,"null-consistent (IBD arm: p=0.48 n_true, p=0.87 n_pathways, p=0.49 top score; see pathway_permutation_crosscohort.csv)",ibd_subject,IBD
24,PWY-5189: tetrapyrrole biosynthesis II (from glycine),26.37065824297788,"null-consistent (IBD arm: p=0.48 n_true, p=0.87 n_pathways, p=0.49 top score; see pathway_permutation_crosscohort.csv)",ibd_subject,IBD
25,ECASYN-PWY: enterobacterial common antigen biosynthesis,26.171015111414658,"null-consistent (IBD arm: p=0.48 n_true, p=0.87 n_pathways, p=0.49 top score; see pathway_permutation_crosscohort.csv)",ibd_subject,IBD
26,ORNDEG-PWY: superpathway of ornithine degradation,26.093407325194235,"null-consistent (IBD arm: p=0.48 n_true, p=0.87 n_pathways, p=0.49 top score; see pathway_permutation_crosscohort.csv)",ibd_subject,IBD
27,P42-PWY: incomplete reductive TCA cycle,25.99136514983352,"null-consistent (IBD arm: p=0.48 n_true, p=0.87 n_pathways, p=0.49 top score; see pathway_permutation_crosscohort.csv)",ibd_subject,IBD
28,P124-PWY: Bifidobacterium shunt,25.877708528984893,"null-consistent (IBD arm: p=0.48 n_true, p=0.87 n_pathways, p=0.49 top score; see pathway_permutation_crosscohort.csv)",ibd_subject,IBD
29,"PWY-241: C4 photosynthetic carbon assimilation cycle, NADP-ME type",25.48576282762742,"null-consistent (IBD arm: p=0.48 n_true, p=0.87 n_pathways, p=0.49 top score; see pathway_permutation_crosscohort.csv)",ibd_subject,IBD
30,PWY-6549: L-glutamine biosynthesis III,25.343867497652184,"null-consistent (IBD arm: p=0.48 n_true, p=0.87 n_pathways, p=0.49 top score; see pathway_permutation_crosscohort.csv)",ibd_subject,IBD
31,PWY-5860: superpathway of demethylmenaquinol-6 biosynthesis I,25.2060804234611,"null-consistent (IBD arm: p=0.48 n_true, p=0.87 n_pathways, p=0.49 top score; see pathway_permutation_crosscohort.csv)",ibd_subject,IBD
32,PWY-6572: chondroitin sulfate degradation I (bacterial),25.1387432767011,"null-consistent (IBD arm: p=0.48 n_true, p=0.87 n_pathways, p=0.49 top score; see pathway_permutation_crosscohort.csv)",ibd_subject,IBD
33,PWY-5862: superpathway of demethylmenaquinol-9 biosynthesis,24.778951592247928,"null-consistent (IBD arm: p=0.48 n_true, p=0.87 n_pathways, p=0.49 top score; see pathway_permutation_crosscohort.csv)",ibd_subject,IBD
34,"PWY-7237: myo-, chiro- and scillo-inositol degradation",24.75984973960557,"null-consistent (IBD arm: p=0.48 n_true, p=0.87 n_pathways, p=0.49 top score; see pathway_permutation_crosscohort.csv)",ibd_subject,IBD
35,PWY-6629: superpathway of L-tryptophan biosynthesis,24.36767864765644,"null-consistent (IBD arm: p=0.48 n_true, p=0.87 n_pathways, p=0.49 top score; see pathway_permutation_crosscohort.csv)",ibd_subject,IBD
36,GLUDEG-I-PWY: GABA shunt,24.347535217279933,"null-consistent (IBD arm: p=0.48 n_true, p=0.87 n_pathways, p=0.49 top score; see pathway_permutation_crosscohort.csv)",ibd_subject,IBD
37,PWY-7003: glycerol degradation to butanol,24.305855032869463,"null-consistent (IBD arm: p=0.48 n_true, p=0.87 n_pathways, p=0.49 top score; see pathway_permutation_crosscohort.csv)",ibd_subject,IBD
38,GLYOXYLATE-BYPASS: glyoxylate cycle,24.254156919661916,"null-consistent (IBD arm: p=0.48 n_true, p=0.87 n_pathways, p=0.49 top score; see pathway_permutation_crosscohort.csv)",ibd_subject,IBD
39,PWY-5705: allantoin degradation to glyoxylate III,24.24107914283276,"null-consistent (IBD arm: p=0.48 n_true, p=0.87 n_pathways, p=0.49 top score; see pathway_permutation_crosscohort.csv)",ibd_subject,IBD
40,AST-PWY: L-arginine degradation II (AST pathway),24.191703235721,"null-consistent (IBD arm: p=0.48 n_true, p=0.87 n_pathways, p=0.49 top score; see pathway_permutation_crosscohort.csv)",ibd_subject,IBD
41,"GLYCOLYSIS-TCA-GLYOX-BYPASS: superpathway of glycolysis, pyruvate dehydrogenase, TCA, and glyoxylate bypass",24.134051054384013,"null-consistent (IBD arm: p=0.48 n_true, p=0.87 n_pathways, p=0.49 top score; see pathway_permutation_crosscohort.csv)",ibd_subject,IBD
42,PWY-5845: superpathway of menaquinol-9 biosynthesis,24.09165030308204,"null-consistent (IBD arm: p=0.48 n_true, p=0.87 n_pathways, p=0.49 top score; see pathway_permutation_crosscohort.csv)",ibd_subject,IBD
43,PWY-6803: phosphatidylcholine acyl editing,24.070229659352847,"null-consistent (IBD arm: p=0.48 n_true, p=0.87 n_pathways, p=0.49 top score; see pathway_permutation_crosscohort.csv)",ibd_subject,IBD
44,PWY-6478: GDP-D-glycero-&alpha;-D-manno-heptose biosynthesis,24.06553402202682,"null-consistent (IBD arm: p=0.48 n_true, p=0.87 n_pathways, p=0.49 top score; see pathway_permutation_crosscohort.csv)",ibd_subject,IBD
45,PWY-5675: nitrate reduction V (assimilatory),23.948991718603256,"null-consistent (IBD arm: p=0.48 n_true, p=0.87 n_pathways, p=0.49 top score; see pathway_permutation_crosscohort.csv)",ibd_subject,IBD
