rank,pathway,rewiring_score,permutation_verdict,cohort,condition
1,AST-PWY: L-arginine degradation II (AST pathway),18.56599393010306,"null-consistent (T2D arm: p=0.09 n_true, p=0.28 n_pathways [primary], p=0.31 top score; see pathway_permutation_crosscohort.csv)",t2d,T2D
2,KETOGLUCONMET-PWY: ketogluconate metabolism,17.46155902636449,"null-consistent (T2D arm: p=0.09 n_true, p=0.28 n_pathways [primary], p=0.31 top score; see pathway_permutation_crosscohort.csv)",t2d,T2D
3,GLYCOL-GLYOXDEG-PWY: superpathway of glycol metabolism and degradation,17.348151441748506,"null-consistent (T2D arm: p=0.09 n_true, p=0.28 n_pathways [primary], p=0.31 top score; see pathway_permutation_crosscohort.csv)",t2d,T2D
4,PWY-5747: 2-methylcitrate cycle II,16.83034245653457,"null-consistent (T2D arm: p=0.09 n_true, p=0.28 n_pathways [primary], p=0.31 top score; see pathway_permutation_crosscohort.csv)",t2d,T2D
5,PWY0-42: 2-methylcitrate cycle I,16.381232409239395,"null-consistent (T2D arm: p=0.09 n_true, p=0.28 n_pathways [primary], p=0.31 top score; see pathway_permutation_crosscohort.csv)",t2d,T2D
6,PWY0-1415: superpathway of heme biosynthesis from uroporphyrinogen-III,15.126835809508432,"null-consistent (T2D arm: p=0.09 n_true, p=0.28 n_pathways [primary], p=0.31 top score; see pathway_permutation_crosscohort.csv)",t2d,T2D
7,P108-PWY: pyruvate fermentation to propanoate I,14.97118703758515,"null-consistent (T2D arm: p=0.09 n_true, p=0.28 n_pathways [primary], p=0.31 top score; see pathway_permutation_crosscohort.csv)",t2d,T2D
8,ORNDEG-PWY: superpathway of ornithine degradation,14.611189502947578,"null-consistent (T2D arm: p=0.09 n_true, p=0.28 n_pathways [primary], p=0.31 top score; see pathway_permutation_crosscohort.csv)",t2d,T2D
9,"ARGDEG-PWY: superpathway of L-arginine, putrescine, and 4-aminobutanoate degradation",14.49315458405969,"null-consistent (T2D arm: p=0.09 n_true, p=0.28 n_pathways [primary], p=0.31 top score; see pathway_permutation_crosscohort.csv)",t2d,T2D
10,ORNARGDEG-PWY: superpathway of L-arginine and L-ornithine degradation,14.493154584059686,"null-consistent (T2D arm: p=0.09 n_true, p=0.28 n_pathways [primary], p=0.31 top score; see pathway_permutation_crosscohort.csv)",t2d,T2D
11,PWY66-399: gluconeogenesis III,13.503815436277886,"null-consistent (T2D arm: p=0.09 n_true, p=0.28 n_pathways [primary], p=0.31 top score; see pathway_permutation_crosscohort.csv)",t2d,T2D
12,P124-PWY: Bifidobacterium shunt,12.633585474174156,"null-consistent (T2D arm: p=0.09 n_true, p=0.28 n_pathways [primary], p=0.31 top score; see pathway_permutation_crosscohort.csv)",t2d,T2D
13,"PWY-7383: anaerobic energy metabolism (invertebrates, cytosol)",12.458640809143096,"null-consistent (T2D arm: p=0.09 n_true, p=0.28 n_pathways [primary], p=0.31 top score; see pathway_permutation_crosscohort.csv)",t2d,T2D
14,HCAMHPDEG-PWY: 3-phenylpropanoate and 3-(3-hydroxyphenyl)propanoate degradation to 2-oxopent-4-enoate,12.415007874401264,"null-consistent (T2D arm: p=0.09 n_true, p=0.28 n_pathways [primary], p=0.31 top score; see pathway_permutation_crosscohort.csv)",t2d,T2D
15,PWY-6690: cinnamate and 3-hydroxycinnamate degradation to 2-oxopent-4-enoate,12.415007874401264,"null-consistent (T2D arm: p=0.09 n_true, p=0.28 n_pathways [primary], p=0.31 top score; see pathway_permutation_crosscohort.csv)",t2d,T2D
16,P105-PWY: TCA cycle IV (2-oxoglutarate decarboxylase),12.139513150054851,"null-consistent (T2D arm: p=0.09 n_true, p=0.28 n_pathways [primary], p=0.31 top score; see pathway_permutation_crosscohort.csv)",t2d,T2D
17,REDCITCYC: TCA cycle VIII (helicobacter),12.049880083478511,"null-consistent (T2D arm: p=0.09 n_true, p=0.28 n_pathways [primary], p=0.31 top score; see pathway_permutation_crosscohort.csv)",t2d,T2D
18,PWY-5896: superpathway of menaquinol-10 biosynthesis,11.71476013395196,"null-consistent (T2D arm: p=0.09 n_true, p=0.28 n_pathways [primary], p=0.31 top score; see pathway_permutation_crosscohort.csv)",t2d,T2D
19,PWY-5850: superpathway of menaquinol-6 biosynthesis I,11.71476013395196,"null-consistent (T2D arm: p=0.09 n_true, p=0.28 n_pathways [primary], p=0.31 top score; see pathway_permutation_crosscohort.csv)",t2d,T2D
20,PWY-5367: petroselinate biosynthesis,11.54996866919151,"null-consistent (T2D arm: p=0.09 n_true, p=0.28 n_pathways [primary], p=0.31 top score; see pathway_permutation_crosscohort.csv)",t2d,T2D
