pathway,n_grid_cells,frac_grid
PWY-6285: superpathway of fatty acids biosynthesis (E. coli),12,1.0
PWY3DJ-35471: L-ascorbate biosynthesis IV,12,1.0
PWY-101: photosynthesis light reactions,12,1.0
PWY-6215: 4-chlorobenzoate degradation,12,1.0
PWY-6435: 4-hydroxybenzoate biosynthesis V,12,1.0
"PWY-7409: phospholipid remodeling (phosphatidylethanolamine, yeast)",12,1.0
P162-PWY: L-glutamate degradation V (via hydroxyglutarate),12,1.0
PWY-7269: NAD/NADP-NADH/NADPH mitochondrial interconversion (yeast),12,1.0
PWY-7392: taxadiene biosynthesis (engineered),12,1.0
THREOCAT-PWY: superpathway of L-threonine metabolism,12,1.0
PWY-5101: L-isoleucine biosynthesis II,12,1.0
PWY-7031: protein N-glycosylation (bacterial),12,1.0
PWY490-3: nitrate reduction VI (assimilatory),12,1.0
P124-PWY: Bifidobacterium shunt,12,1.0
PWY-4321: L-glutamate degradation IV,12,1.0
3-HYDROXYPHENYLACETATE-DEGRADATION-PWY: 4-hydroxyphenylacetate degradation,12,1.0
PWY-7200: superpathway of pyrimidine deoxyribonucleoside salvage,12,1.0
PWY-3801: sucrose degradation II (sucrose synthase),12,1.0
PWY-6263: superpathway of menaquinol-8 biosynthesis II,12,1.0
LPSSYN-PWY: superpathway of lipopolysaccharide biosynthesis,12,1.0
PWY-6210: 2-aminophenol degradation,12,1.0
P621-PWY: nylon-6 oligomer degradation,12,1.0
PWY-5304: superpathway of sulfur oxidation (Acidianus ambivalens),12,1.0
PWY-5178: toluene degradation IV (aerobic) (via catechol),12,1.0
"PWY-5509: adenosylcobalamin biosynthesis from cobyrinate a,c-diamide I",12,1.0
PWY-7399: methylphosphonate degradation II,12,1.0
PWY-5121: superpathway of geranylgeranyl diphosphate biosynthesis II (via MEP),12,1.0
PWY-5654: 2-amino-3-carboxymuconate semialdehyde degradation to 2-oxopentenoate,12,1.0
PWY-7165: L-ascorbate biosynthesis VI (engineered pathway),12,1.0
PWY-7316: dTDP-N-acetylviosamine biosynthesis,12,1.0
UDPNACETYLGALSYN-PWY: UDP-N-acetyl-D-glucosamine biosynthesis II,12,1.0
PWY-6876: isopropanol biosynthesis,12,1.0
PWY-7446: sulfoglycolysis,12,1.0
"P125-PWY: superpathway of (R,R)-butanediol biosynthesis",12,1.0
PWY-6562: norspermidine biosynthesis,12,1.0
PWY66-388: fatty acid &alpha;-oxidation III,12,1.0
PWY-5088: L-glutamate degradation VIII (to propanoate),12,1.0
PWY-6572: chondroitin sulfate degradation I (bacterial),12,1.0
PWY0-881: superpathway of fatty acid biosynthesis I (E. coli),12,1.0
PROPFERM-PWY: L-alanine fermentation to propanoate and acetate,12,1.0
P163-PWY: L-lysine fermentation to acetate and butanoate,12,1.0
PWY-5415: catechol degradation I (meta-cleavage pathway),12,1.0
PWY-6785: hydrogen production VIII,12,1.0
P562-PWY: myo-inositol degradation I,12,1.0
PWY0-41: allantoin degradation IV (anaerobic),12,1.0
PWY-6185: 4-methylcatechol degradation (ortho cleavage),12,1.0
PWY-7279: aerobic respiration II (cytochrome c) (yeast),12,1.0
PWY-7312: dTDP-D-&beta;-fucofuranose biosynthesis,12,1.0
PWY-5004: superpathway of L-citrulline metabolism,12,1.0
