cohort,variant,condition,metric,observed,null_mean,null_sd,null_median,p_ge,p_le,n_perm
acvd,clr,control,n_rewired,24144.0,25047.64,3769.78,24230.5,0.5135,0.4875,1000
acvd,clr,control,n_true,4940.0,4994.37,755.03,4909.0,0.4855,0.5165,1000
acvd,clr,control,n_exclusive,24022.0,24971.84,3765.56,24156.0,0.5215,0.4795,1000
acvd,clr,control,n_sign,2.0,3.0,11.03,0.0,0.2587,0.8112,1000
acvd,clr,ACVD,n_rewired,10146.0,10233.75,1981.09,9940.5,0.4675,0.5335,1000
acvd,clr,ACVD,n_true,1707.0,1324.48,252.19,1307.0,0.0819,0.9191,1000
acvd,clr,ACVD,n_exclusive,10142.0,10227.47,1980.9,9934.0,0.4655,0.5355,1000
acvd,clr,ACVD,n_sign,0.0,0.24,0.97,0.0,1.0,0.8951,1000
acvd,log,control,n_rewired,16495.0,17113.228,2449.4228,16566.0,0.5175,0.4835,1000
acvd,log,control,n_true,2991.0,2676.349,380.7163,2658.0,0.2018,0.8002,1000
acvd,log,control,n_exclusive,16364.0,17070.381,2448.2949,16518.5,0.5345,0.4675,1000
acvd,log,control,n_sign,0.0,0.251,1.1939,0.0,1.0,0.8871,1000
acvd,log,ACVD,n_rewired,7945.0,8214.849,1631.8531,7978.5,0.5125,0.4895,1000
acvd,log,ACVD,n_true,1340.0,1159.985,230.963,1140.5,0.2118,0.7912,1000
acvd,log,ACVD,n_exclusive,7943.0,8209.623,1631.5109,7975.5,0.5125,0.4895,1000
acvd,log,ACVD,n_sign,0.0,0.075,0.4019,0.0,1.0,0.952,1000
