cohort,variant,condition,tau,delta,n_rewired,n_true,frac_true,n_exclusive,n_diffweighted,n_sign,max_node_score,n_edges_male,n_edges_female,n_feat_male,n_feat_female
acvd,clr,ACVD,0.2,0.1,24307,4669,0.1921,23781,489,37,70.11,10123,17326,318,358
acvd,clr,ACVD,0.2,0.2,23912,4274,0.1787,23781,94,37,68.0,10123,17326,318,358
acvd,clr,ACVD,0.2,0.3,23838,4200,0.1762,23781,20,37,67.26,10123,17326,318,358
acvd,clr,ACVD,0.2,0.4,23820,4182,0.1756,23781,2,37,67.26,10123,17326,318,358
acvd,clr,ACVD,0.2,0.5,23818,4180,0.1755,23781,0,37,67.26,10123,17326,318,358
acvd,clr,ACVD,0.25,0.1,15873,3093,0.1949,15600,268,5,60.92,6355,11627,318,358
acvd,clr,ACVD,0.25,0.2,15652,2872,0.1835,15600,47,5,59.53,6355,11627,318,358
acvd,clr,ACVD,0.25,0.3,15610,2830,0.1813,15600,5,5,59.05,6355,11627,318,358
acvd,clr,ACVD,0.25,0.4,15605,2825,0.181,15600,0,5,59.05,6355,11627,318,358
acvd,clr,ACVD,0.25,0.5,15605,2825,0.181,15600,0,5,59.05,6355,11627,318,358
acvd,clr,ACVD,0.3,0.1,10334,1895,0.1834,10142,192,0,54.31,4070,7810,318,358
acvd,clr,ACVD,0.3,0.2,10175,1736,0.1706,10142,33,0,53.39,4070,7810,318,358
acvd,clr,ACVD,0.3,0.3,10146,1707,0.1682,10142,4,0,53.13,4070,7810,318,358
acvd,clr,ACVD,0.3,0.4,10142,1703,0.1679,10142,0,0,53.13,4070,7810,318,358
acvd,clr,ACVD,0.3,0.5,10142,1703,0.1679,10142,0,0,53.13,4070,7810,318,358
acvd,clr,ACVD,0.35,0.1,6819,1004,0.1472,6659,160,0,49.45,2902,5171,318,358
acvd,clr,ACVD,0.35,0.2,6689,874,0.1307,6659,30,0,48.8,2902,5171,318,358
acvd,clr,ACVD,0.35,0.3,6661,846,0.127,6659,2,0,48.54,2902,5171,318,358
acvd,clr,ACVD,0.35,0.4,6659,844,0.1267,6659,0,0,48.54,2902,5171,318,358
acvd,clr,ACVD,0.35,0.5,6659,844,0.1267,6659,0,0,48.54,2902,5171,318,358
acvd,clr,ACVD,0.4,0.1,4762,574,0.1205,4640,122,0,37.82,2213,3653,318,358
acvd,clr,ACVD,0.4,0.2,4663,475,0.1019,4640,23,0,37.62,2213,3653,318,358
acvd,clr,ACVD,0.4,0.3,4642,454,0.0978,4640,2,0,37.62,2213,3653,318,358
acvd,clr,ACVD,0.4,0.4,4640,452,0.0974,4640,0,0,37.62,2213,3653,318,358
acvd,clr,ACVD,0.4,0.5,4640,452,0.0974,4640,0,0,37.62,2213,3653,318,358
acvd,clr,ACVD,0.5,0.1,2654,234,0.0882,2574,80,0,25.58,1415,2119,318,358
acvd,clr,ACVD,0.5,0.2,2588,168,0.0649,2574,14,0,25.38,1415,2119,318,358
acvd,clr,ACVD,0.5,0.3,2576,156,0.0606,2574,2,0,25.38,1415,2119,318,358
acvd,clr,ACVD,0.5,0.4,2574,154,0.0598,2574,0,0,25.38,1415,2119,318,358
acvd,clr,ACVD,0.5,0.5,2574,154,0.0598,2574,0,0,25.38,1415,2119,318,358
acvd,clr,control,0.2,0.1,47691,11255,0.236,44869,2722,100,139.71,23329,35156,348,390
acvd,clr,control,0.2,0.2,45792,9356,0.2043,44869,823,100,139.71,23329,35156,348,390
acvd,clr,control,0.2,0.3,45176,8740,0.1935,44869,207,100,139.71,23329,35156,348,390
acvd,clr,control,0.2,0.4,44992,8556,0.1902,44869,23,100,139.71,23329,35156,348,390
acvd,clr,control,0.2,0.5,44969,8533,0.1898,44869,0,100,139.71,23329,35156,348,390
acvd,clr,control,0.25,0.1,35127,8439,0.2402,33130,1978,19,131.46,16652,26434,348,390
acvd,clr,control,0.25,0.2,33772,7084,0.2098,33130,623,19,131.46,16652,26434,348,390
