n_rewired,n_true,frac_true,n_exclusive,n_sign,n_diffweighted,max_node_score,cohort,variant,condition,tau,delta,n_edges_male,n_edges_female,n_feat_male,n_feat_female
47691,11255,0.23599840640791764,44869,100,2722,139.7062317996505,acvd,clr,control,0.2,0.1,23329,35156,348,390
45792,9356,0.2043151642208246,44869,100,823,139.7062317996505,acvd,clr,control,0.2,0.2,23329,35156,348,390
45176,8740,0.19346555693288472,44869,100,207,139.7062317996505,acvd,clr,control,0.2,0.3,23329,35156,348,390
44992,8556,0.19016714082503555,44869,100,23,139.7062317996505,acvd,clr,control,0.2,0.4,23329,35156,348,390
44969,8533,0.18975294091485245,44869,100,0,139.7062317996505,acvd,clr,control,0.2,0.5,23329,35156,348,390
35127,8439,0.2402425484669912,33130,19,1978,131.45664531158997,acvd,clr,control,0.25,0.1,16652,26434,348,390
33772,7084,0.20975956413597063,33130,19,623,131.45664531158997,acvd,clr,control,0.25,0.2,16652,26434,348,390
33301,6613,0.198582625146392,33130,19,152,131.45664531158997,acvd,clr,control,0.25,0.3,16652,26434,348,390
33164,6476,0.19527198166686768,33130,19,15,131.45664531158997,acvd,clr,control,0.25,0.4,16652,26434,348,390
33149,6461,0.19490784035717518,33130,19,0,131.45664531158997,acvd,clr,control,0.25,0.5,16652,26434,348,390
25450,6246,0.24542239685658154,24022,2,1426,124.20647641234712,acvd,clr,control,0.3,0.1,11740,19630,348,390
24505,5301,0.21632319934707203,24022,2,481,124.20647641234712,acvd,clr,control,0.3,0.2,11740,19630,348,390
24144,4940,0.20460569913850232,24022,2,120,124.20647641234712,acvd,clr,control,0.3,0.3,11740,19630,348,390
24038,4834,0.20109826108661286,24022,2,14,124.20647641234712,acvd,clr,control,0.3,0.4,11740,19630,348,390
24024,4820,0.20063270063270064,24022,2,0,124.20647641234712,acvd,clr,control,0.3,0.5,11740,19630,348,390
18157,4407,0.24271630776009254,17140,0,1017,112.133057658707,acvd,clr,control,0.35,0.1,8309,14281,348,390
17488,3738,0.21374656907593778,17140,0,348,112.133057658707,acvd,clr,control,0.35,0.2,8309,14281,348,390
17239,3489,0.2023899298103138,17140,0,99,112.133057658707,acvd,clr,control,0.35,0.3,8309,14281,348,390
17152,3402,0.19834421641791045,17140,0,12,112.133057658707,acvd,clr,control,0.35,0.4,8309,14281,348,390
17140,3390,0.19778296382730456,17140,0,0,112.133057658707,acvd,clr,control,0.35,0.5,8309,14281,348,390
